job_no,customer_id,contact_id,tenant_id,division,product_type,description,quantity,size,stock_code,colours,finishing,current_stage,received_at,promised_dispatch,actual_dispatch,collection_site,value
4456,b57b7fce-5d68-09f5-81b2-64659e8e058a,9a2ad290-88ba-54aa-6f88-b9f37ff3f1c6,ramco-printing,HEX,desk diary 2027,"5,000 x desk diary 2027",5000,A3,STK-REC-120,1/0,{},dispatched,2026-02-05 00:00:00,2026-02-11,2026-02-09,"Ramco Group Industrial Park, Mombasa Road",486534.98
4457,b57b7fce-5d68-09f5-81b2-64659e8e058a,9a2ad290-88ba-54aa-6f88-b9f37ff3f1c6,ramco-printing,UNO,compliment slips,500 x compliment slips,500,A4,STK-BOARD-250,1/0,{},dispatched,2026-03-20 00:00:00,2026-03-25,2026-03-26,"Dunga Close, Industrial Area",61666.65
4458,23b9fd40-2749-b0ff-abc4-b43aae0ffd83,99535b49-4cc3-9533-cd19-daf4845bcaf5,ramco-printing,IX,branded pens,"10,000 x branded pens",10000,A4,STK-BOARD-300,1/0,{},delivered,2026-03-03 00:00:00,2026-03-12,2026-03-10,"Ramco Group Industrial Park, Mombasa Road",1753945.89
4459,a6e43db4-0e02-1dce-b316-ec6483e80d5e,38979c95-6fbf-b1fe-8679-04df08b6f2fa,ramco-printing,HEX,A5 hardcover notebook,500 x A5 hardcover notebook,500,std,STK-BOARD-300,4/0,{FIN-PERFECT},delivered,2026-04-08 00:00:00,2026-04-13,2026-04-13,"Ramco Group Industrial Park, Mombasa Road",16252.76
4460,4a36138b-484d-b384-052d-557184896331,7fffbc3f-5f0c-749f-fc40-918435e979df,ramco-printing,HEX,A5 hardcover notebook,250 x A5 hardcover notebook,250,90x54mm,STK-GLOSS-170,4/0,{},delivered,2026-07-15 00:00:00,2026-07-23,2026-07-20,"Ramco Group Industrial Park, Mombasa Road",52200.53
4461,4bdf9fbf-d1a8-b378-d9d9-1e732ccf62ab,7c1a456f-b5d0-f4c5-0590-c936c5d6f55d,ramco-printing,DUO,training manual perfect bound,"1,000 x training manual perfect bound",1000,A5,STK-BOND-80,4/0,"{FIN-FOIL,FIN-PERFECT}",delivered,2026-05-12 00:00:00,2026-05-15,2026-05-15,"Ramco Group Industrial Park, Mombasa Road",58701.89
4462,d7c87397-488b-3eac-c17d-b4e2b56cb2b7,9afd121d-b7d3-d644-bb60-8bfb6e20ba31,ramco-printing,UNO,compliment slips,"1,000 x compliment slips",1000,A4,STK-KRAFT-280,4/4,{},delivered,2026-03-20 00:00:00,2026-03-26,2026-03-25,"Dunga Close, Industrial Area",177560.01
4463,d7c87397-488b-3eac-c17d-b4e2b56cb2b7,9afd121d-b7d3-d644-bb60-8bfb6e20ba31,ramco-printing,HEX,A5 hardcover notebook,"5,000 x A5 hardcover notebook",5000,A4,STK-SILK-130,4/4,{},delivered,2026-07-08 00:00:00,2026-07-15,2026-07-17,"Ramco Group Industrial Park, Mombasa Road",84851.64
4464,d111925e-7504-d72d-152e-503bed7db6cc,ca320f44-32ef-0807-48a1-028f7a308ec3,ramco-printing,HEX,desk diary 2027,"10,000 x desk diary 2027",10000,A3,STK-SILK-150,1/0,{FIN-SADDLE},delivered,2026-06-03 00:00:00,2026-06-07,2026-06-07,"Ramco Group Industrial Park, Mombasa Road",1847235.62
4465,e5b83da9-b827-0066-25c5-51b7ad1bab29,3126df68-f4be-8288-3dd0-d076fadc6c2a,ramco-printing,UNO,compliment slips,500 x compliment slips,500,A4,STK-BOARD-350,4/0,"{FIN-SOFTLAM,FIN-FOIL}",dispatched,2026-05-03 00:00:00,2026-05-14,2026-05-12,"Dunga Close, Industrial Area",33431.28
4466,25eb2245-41ad-78e8-9a51-101ffb45ae29,5faee57e-5c1f-e2ff-1a10-8a11189b8a22,ramco-printing,HEX,A5 softcover journal,"5,000 x A5 softcover journal",5000,90x54mm,STK-GLOSS-130,4/4,{FIN-SOFTLAM},delivered,2026-04-07 00:00:00,2026-04-13,2026-04-11,"Ramco Group Industrial Park, Mombasa Road",948287.59
4467,056acd07-b13e-29f4-fcee-2c1b453aba36,7ab62628-711f-3b4f-a641-93f0eee77be0,ramco-printing,DUO,carton sleeve,"10,000 x carton sleeve",10000,std,STK-SILK-130,4/0,"{FIN-EMBOSS,FIN-WIRO}",delivered,2026-02-19 00:00:00,2026-02-26,2026-02-22,"Ramco Group Industrial Park, Mombasa Road",198025.26
4468,40ce51ac-1c59-d345-c400-97e7d1a1bc8c,bdc4aacd-c2d2-e133-218b-83894882fb0d,ramco-printing,UNO,business cards,"1,000 x business cards",1000,std,STK-GLOSS-130,4/0,{},dispatched,2026-01-25 00:00:00,2026-02-03,2026-02-02,"Dunga Close, Industrial Area",166145.09
4469,71f182a2-d09a-2665-8734-875de9eb67ab,d0c40128-9bdc-e688-2df3-c8c4f7a62867,ramco-printing,UNO,compliment slips,"5,000 x compliment slips",5000,std,STK-SILK-130,1/0,"{FIN-PERFECT,FIN-FOIL}",delivered,2026-07-17 00:00:00,2026-07-26,2026-07-27,"Dunga Close, Industrial Area",967477.76
4470,340700a7-732e-caff-e197-00b2c815e43e,3abb3fbd-2d3a-0d2c-2152-00d59fca7579,ramco-printing,HEX,desk diary 2027,500 x desk diary 2027,500,A3,STK-BOND-80,1/0,{FIN-PERFECT},delivered,2026-03-17 00:00:00,2026-03-24,2026-03-24,"Ramco Group Industrial Park, Mombasa Road",95595.71
4472,d57861d7-86fb-2683-58be-f8bcc467249b,eb478952-4ede-17a1-2259-372593df4dbe,ramco-printing,UNO,presentation folder,500 x presentation folder,500,std,STK-BOND-80,1/0,"{FIN-MATTLAM,FIN-PERFECT}",delivered,2026-01-05 00:00:00,2026-01-09,2026-01-09,"Dunga Close, Industrial Area",102127.74
4473,cc9a38b8-22cd-3a50-f6b1-0a7fc187593a,d52d6b71-af68-8d69-44eb-89baadef9f17,ramco-printing,UNO,A4 brochure 8pp,500 x A4 brochure 8pp,500,A4,STK-REC-120,4/4,"{FIN-EMBOSS,FIN-DIECUT}",delivered,2026-01-17 00:00:00,2026-01-22,2026-01-22,"Dunga Close, Industrial Area",102971.24
4474,85a66359-8341-c3df-1cdf-66e0599545c6,a0392073-e830-1303-ef5a-c5c99d4b8fe6,ramco-printing,DUO,training manual perfect bound,"10,000 x training manual perfect bound",10000,A4,STK-GLOSS-130,4/4,{},dispatched,2026-03-17 00:00:00,2026-03-25,2026-03-23,"Ramco Group Industrial Park, Mombasa Road",1541102.1
4475,92eba0e3-1087-a447-9bae-74f56bef94c2,91bc18f7-c9a7-df36-290a-1d75df00ec35,ramco-printing,UNO,annual report 48pp,"1,000 x annual report 48pp",1000,A3,STK-BOARD-350,4/0,{},delivered,2025-11-14 00:00:00,2025-11-19,2025-11-19,"Dunga Close, Industrial Area",34485.61
4476,340700a7-732e-caff-e197-00b2c815e43e,3abb3fbd-2d3a-0d2c-2152-00d59fca7579,ramco-printing,IX,exhibition backdrop,"5,000 x exhibition backdrop",5000,90x54mm,STK-BOARD-300,1/0,{},delivered,2026-02-17 00:00:00,2026-02-23,2026-02-22,"Ramco Group Industrial Park, Mombasa Road",82628.7
4477,c2a78948-672d-3480-815c-adaf49b3a057,16a93772-4fc4-4963-16f2-2f40bba41006,ramco-printing,DUO,product label roll,500 x product label roll,500,90x54mm,STK-BOARD-250,1/0,"{FIN-SOFTLAM,FIN-DIECUT}",delivered,2026-05-25 00:00:00,2026-05-31,2026-05-29,"Ramco Group Industrial Park, Mombasa Road",90979.62
4478,e2fb492f-f2af-0e4a-b09a-10a7853c7d4f,2ab534a3-f438-f606-437c-af59e745e900,ramco-printing,UNO,letterheads,"5,000 x letterheads",5000,std,STK-KRAFT-280,1/0,{},delivered,2026-03-07 00:00:00,2026-03-13,2026-03-13,"Dunga Close, Industrial Area",708621.55
4479,273f0a46-b0e0-15e4-2eea-537dd458199d,4291c571-c4fa-5036-e9bd-38c5528ee0cc,ramco-printing,HEX,desk diary 2027,"2,000 x desk diary 2027",2000,A4,STK-SILK-130,4/0,{FIN-CASE},delivered,2026-07-14 00:00:00,2026-07-20,2026-07-19,"Ramco Group Industrial Park, Mombasa Road",219870.07
4480,92eba0e3-1087-a447-9bae-74f56bef94c2,91bc18f7-c9a7-df36-290a-1d75df00ec35,ramco-printing,UNO,A4 booklet 24pp,"10,000 x A4 booklet 24pp",10000,90x54mm,STK-BOARD-350,4/4,"{FIN-PERFECT,FIN-SADDLE}",delivered,2026-07-22 00:00:00,2026-07-30,2026-07-29,"Dunga Close, Industrial Area",242738.63
4481,e1d27b19-fd81-a720-7ce6-d4558d3a7e8a,97452430-fe70-61a6-3bde-a150ce983640,ramco-printing,DUO,paperback book 300pp,"2,000 x paperback book 300pp",2000,A3,STK-GLOSS-130,4/4,"{FIN-GLOSSLAM,FIN-SOFTLAM}",delivered,2026-01-16 00:00:00,2026-01-23,2026-01-23,"Ramco Group Industrial Park, Mombasa Road",405876.0
4482,9e73b068-b3a6-14aa-a156-a0517e0c77a8,9a8f2ac9-7612-119e-17ff-390567d27107,ramco-printing,UNO,compliment slips,500 x compliment slips,500,90x54mm,STK-BOND-100,1/0,{FIN-MATTLAM},delivered,2026-04-28 00:00:00,2026-05-06,2026-05-04,"Dunga Close, Industrial Area",71598.39
4483,d0cafddc-2be4-913d-30a1-8954f446d827,e7611437-9d00-66f8-bc94-cc3aa3e2ad45,ramco-printing,DUO,folding carton,"2,000 x folding carton",2000,A5,STK-BOARD-350,4/4,"{FIN-SADDLE,FIN-SOFTLAM}",dispatched,2026-05-03 00:00:00,2026-05-12,2026-05-12,"Ramco Group Industrial Park, Mombasa Road",24279.14
4484,a6e43db4-0e02-1dce-b316-ec6483e80d5e,38979c95-6fbf-b1fe-8679-04df08b6f2fa,ramco-printing,IX,eco gift set,500 x eco gift set,500,90x54mm,STK-BOARD-350,1/0,"{FIN-WIRO,FIN-EMBOSS}",delivered,2026-05-28 00:00:00,2026-06-04,2026-06-02,"Ramco Group Industrial Park, Mombasa Road",89124.52
4485,61a6c6b5-7d4a-e5df-355b-adfdc4bf176a,2bf3e9fe-1913-608e-8147-3b4564b45b91,ramco-printing,UNO,A4 brochure 8pp,"10,000 x A4 brochure 8pp",10000,A3,STK-BOND-100,1/0,"{FIN-MATTLAM,FIN-CASE}",delivered,2026-03-25 00:00:00,2026-04-01,2026-03-30,"Dunga Close, Industrial Area",1484590.6
4486,5abb59de-2e94-70ef-2be5-2f571f1cd5d0,ff084025-060b-5b7b-af58-dc658925bc47,ramco-printing,IX,vehicle branding set,"1,000 x vehicle branding set",1000,A4,STK-BOARD-250,4/4,{},delivered,2026-06-06 00:00:00,2026-06-12,2026-06-11,"Ramco Group Industrial Park, Mombasa Road",40375.75
4487,cf6df40d-2ae6-3792-70c8-c21ba56cd4c9,e6638300-fc7e-676c-4473-f7d47a2f8940,ramco-printing,IX,vehicle branding set,250 x vehicle branding set,250,std,STK-SILK-150,1/0,{},delivered,2025-11-29 00:00:00,2025-12-06,2025-12-03,"Ramco Group Industrial Park, Mombasa Road",35944.04
4488,fdee6e16-066c-ffcc-87bd-d0d370dcd6eb,a589fd34-54a4-a88e-0448-fd72532b7ba8,ramco-printing,DUO,paperback book 300pp,500 x paperback book 300pp,500,std,STK-SILK-130,1/0,{FIN-SOFTLAM},dispatched,2026-02-01 00:00:00,2026-02-10,2026-02-11,"Ramco Group Industrial Park, Mombasa Road",55548.55
4489,52b54707-0030-b7df-aa8c-0f0777fd344d,c231304b-d8b6-2822-ec28-bd04fed209ea,ramco-printing,HEX,A5 softcover journal,"1,000 x A5 softcover journal",1000,A3,STK-BOARD-350,4/4,{FIN-MATTLAM},delivered,2026-01-21 00:00:00,2026-01-29,2026-01-26,"Ramco Group Industrial Park, Mombasa Road",174215.77
4490,340700a7-732e-caff-e197-00b2c815e43e,3abb3fbd-2d3a-0d2c-2152-00d59fca7579,ramco-printing,IX,exhibition backdrop,500 x exhibition backdrop,500,std,STK-BOARD-250,4/4,{FIN-FOIL},delivered,2026-07-27 00:00:00,2026-08-03,2026-08-01,"Ramco Group Industrial Park, Mombasa Road",11602.84
4491,b5c603f1-af1d-e19b-df98-e35de2c28820,f7cacdb6-53e3-7e1e-8258-7bd45176ac5e,ramco-printing,UNO,A4 brochure 8pp,250 x A4 brochure 8pp,250,90x54mm,STK-BOARD-300,4/4,{},delivered,2026-07-03 00:00:00,2026-07-10,2026-07-08,"Dunga Close, Industrial Area",34413.01
4492,71f182a2-d09a-2665-8734-875de9eb67ab,d0c40128-9bdc-e688-2df3-c8c4f7a62867,ramco-printing,UNO,presentation folder,"5,000 x presentation folder",5000,std,STK-GLOSS-130,4/0,"{FIN-FOIL,FIN-SOFTLAM}",dispatched,2026-02-23 00:00:00,2026-03-04,2026-03-01,"Dunga Close, Industrial Area",404458.31
4493,ca2f6f71-ed08-482b-f26a-4d45fe5fdc9e,0d06d344-8393-6f82-5dab-a938201166ed,ramco-printing,HEX,A5 hardcover notebook,"1,000 x A5 hardcover notebook",1000,A3,STK-REC-120,1/0,{},dispatched,2026-06-09 00:00:00,2026-06-16,2026-06-16,"Ramco Group Industrial Park, Mombasa Road",157998.8
4494,de046c82-323a-44d9-4bbd-387ca8ad5f7b,63a091fe-c997-65ae-ba4b-57b2cf5f8154,ramco-printing,DUO,training manual perfect bound,250 x training manual perfect bound,250,90x54mm,STK-SILK-130,4/4,{FIN-FOIL},delivered,2026-04-10 00:00:00,2026-04-15,2026-04-15,"Ramco Group Industrial Park, Mombasa Road",5967.94
4495,644f0335-74ad-84e7-c2fe-e1ba6f020342,59944213-0ced-0c48-86a5-240a169f361f,ramco-printing,DUO,folding carton,"5,000 x folding carton",5000,A5,STK-GLOSS-130,1/0,{FIN-FOIL},delivered,2026-07-12 00:00:00,2026-07-19,2026-07-16,"Ramco Group Industrial Park, Mombasa Road",63665.85
4496,f698aed6-9f84-5bec-cc70-d1998377c749,34710e36-9dd6-55be-0e49-909910e22277,ramco-printing,UNO,presentation folder,"1,000 x presentation folder",1000,A3,STK-BOND-80,1/0,"{FIN-EMBOSS,FIN-SADDLE}",delivered,2026-04-11 00:00:00,2026-04-16,2026-04-15,"Dunga Close, Industrial Area",141665.49
4497,deb58e5a-b7db-6abd-2127-de093774500c,59f52611-304b-429a-3991-6cfa1991d51c,ramco-printing,IX,branded pens,"1,000 x branded pens",1000,std,STK-GLOSS-170,4/4,"{FIN-CASE,FIN-SOFTLAM}",delivered,2026-02-22 00:00:00,2026-03-03,2026-03-05,"Ramco Group Industrial Park, Mombasa Road",67532.91
4498,52b54707-0030-b7df-aa8c-0f0777fd344d,c231304b-d8b6-2822-ec28-bd04fed209ea,ramco-printing,HEX,B5 notebook,"5,000 x B5 notebook",5000,A3,STK-BOARD-300,4/0,"{FIN-CASE,FIN-MATTLAM}",delivered,2026-02-08 00:00:00,2026-02-13,2026-02-13,"Ramco Group Industrial Park, Mombasa Road",665891.93
4499,9e73b068-b3a6-14aa-a156-a0517e0c77a8,9a8f2ac9-7612-119e-17ff-390567d27107,ramco-printing,IX,pull-up banner,"2,000 x pull-up banner",2000,A4,STK-REC-120,4/0,{},delivered,2026-01-24 00:00:00,2026-01-31,2026-01-29,"Ramco Group Industrial Park, Mombasa Road",110069.5
4500,de046c82-323a-44d9-4bbd-387ca8ad5f7b,63a091fe-c997-65ae-ba4b-57b2cf5f8154,ramco-printing,UNO,compliment slips,"5,000 x compliment slips",5000,A4,STK-REC-120,4/4,{},delivered,2025-12-15 00:00:00,2025-12-21,2025-12-21,"Dunga Close, Industrial Area",877764.41
4501,737cc2fa-89ae-f5d5-6246-8f6b3b93b36a,36866ca8-142e-0299-26f4-36431c05909b,ramco-printing,IX,branded pens,"1,000 x branded pens",1000,A3,STK-BOND-80,4/4,{},dispatched,2026-03-04 00:00:00,2026-03-14,2026-03-14,"Ramco Group Industrial Park, Mombasa Road",83398.0
4502,dbc3b092-5210-ecf2-db66-87e70035347c,f89a46b6-7c1c-b426-62f3-8215dc07d6eb,ramco-printing,DUO,instruction leaflet,500 x instruction leaflet,500,A5,STK-REC-120,4/0,{},delivered,2026-01-21 00:00:00,2026-01-26,2026-01-26,"Ramco Group Industrial Park, Mombasa Road",78992.98
4503,737cc2fa-89ae-f5d5-6246-8f6b3b93b36a,36866ca8-142e-0299-26f4-36431c05909b,ramco-printing,IX,pull-up banner,"5,000 x pull-up banner",5000,A4,STK-BOARD-350,4/4,"{FIN-SOFTLAM,FIN-DIECUT}",dispatched,2026-05-04 00:00:00,2026-05-13,2026-05-10,"Ramco Group Industrial Park, Mombasa Road",618874.36
4504,e2fb492f-f2af-0e4a-b09a-10a7853c7d4f,2ab534a3-f438-f606-437c-af59e745e900,ramco-printing,IX,branded pens,"2,000 x branded pens",2000,A4,STK-KRAFT-280,1/0,"{FIN-DIECUT,FIN-MATTLAM}",delivered,2026-07-24 00:00:00,2026-07-29,2026-07-28,"Ramco Group Industrial Park, Mombasa Road",331088.29
4505,9e73b068-b3a6-14aa-a156-a0517e0c77a8,9a8f2ac9-7612-119e-17ff-390567d27107,ramco-printing,UNO,compliment slips,"2,000 x compliment slips",2000,90x54mm,STK-BOARD-350,4/0,{},delivered,2026-07-31 00:00:00,2026-08-06,2026-08-06,"Dunga Close, Industrial Area",378672.72
4506,e2fb492f-f2af-0e4a-b09a-10a7853c7d4f,2ab534a3-f438-f606-437c-af59e745e900,ramco-printing,HEX,A5 hardcover notebook,"1,000 x A5 hardcover notebook",1000,90x54mm,STK-BOARD-300,4/0,{FIN-SOFTLAM},delivered,2026-03-12 00:00:00,2026-03-19,2026-03-21,"Ramco Group Industrial Park, Mombasa Road",74331.67
4507,644f0335-74ad-84e7-c2fe-e1ba6f020342,59944213-0ced-0c48-86a5-240a169f361f,ramco-printing,UNO,business cards,250 x business cards,250,std,STK-BOARD-350,4/4,{FIN-MATTLAM},dispatched,2026-04-28 00:00:00,2026-05-07,2026-05-04,"Dunga Close, Industrial Area",42424.48
4508,d57861d7-86fb-2683-58be-f8bcc467249b,eb478952-4ede-17a1-2259-372593df4dbe,ramco-printing,IX,branded pens,500 x branded pens,500,A4,STK-GLOSS-130,4/4,{},dispatched,2025-11-30 00:00:00,2025-12-07,2025-12-07,"Ramco Group Industrial Park, Mombasa Road",100999.26
4509,ca2f6f71-ed08-482b-f26a-4d45fe5fdc9e,0d06d344-8393-6f82-5dab-a938201166ed,ramco-printing,DUO,monthly magazine,"5,000 x monthly magazine",5000,A3,STK-KRAFT-280,4/4,{},dispatched,2026-05-31 00:00:00,2026-06-07,2026-06-07,"Ramco Group Industrial Park, Mombasa Road",970667.68
4510,340700a7-732e-caff-e197-00b2c815e43e,3abb3fbd-2d3a-0d2c-2152-00d59fca7579,ramco-printing,UNO,A5 flyers,"2,000 x A5 flyers",2000,A5,STK-SILK-150,4/4,{FIN-MATTLAM},dispatched,2026-05-16 00:00:00,2026-05-23,2026-05-23,"Dunga Close, Industrial Area",408650.12
4511,216e5023-45f9-fbac-d29d-859395858d97,2c995d46-5713-ab8f-9d1a-1c594a8a812d,ramco-printing,IX,pull-up banner,"2,000 x pull-up banner",2000,std,STK-GLOSS-130,4/4,{FIN-MATTLAM},delivered,2026-01-28 00:00:00,2026-02-04,2026-02-04,"Ramco Group Industrial Park, Mombasa Road",334040.11
4512,40ce51ac-1c59-d345-c400-97e7d1a1bc8c,bdc4aacd-c2d2-e133-218b-83894882fb0d,ramco-printing,DUO,monthly magazine,"2,000 x monthly magazine",2000,std,STK-GLOSS-170,1/0,"{FIN-DIECUT,FIN-CASE}",dispatched,2026-07-28 00:00:00,2026-08-07,2026-08-03,"Ramco Group Industrial Park, Mombasa Road",414924.87
4513,e5b83da9-b827-0066-25c5-51b7ad1bab29,3126df68-f4be-8288-3dd0-d076fadc6c2a,ramco-printing,UNO,A4 booklet 24pp,"1,000 x A4 booklet 24pp",1000,90x54mm,STK-BOARD-350,1/0,{},delivered,2025-12-23 00:00:00,2025-12-31,2025-12-29,"Dunga Close, Industrial Area",94194.14
4514,1fa48a73-7222-9877-55df-b36e5fc29844,3c156eb4-18f9-4428-6c5d-64c8c26b19a1,ramco-printing,HEX,pocket diary 2027,250 x pocket diary 2027,250,A4,STK-BOND-100,1/0,{},dispatched,2025-12-19 00:00:00,2025-12-26,2025-12-22,"Ramco Group Industrial Park, Mombasa Road",14409.15
4515,eedb3a03-9d8d-9f4e-8e4e-511ecfee26dc,537fcc50-2254-2faf-eba6-a04bff065500,ramco-printing,HEX,A5 softcover journal,250 x A5 softcover journal,250,90x54mm,STK-BOARD-350,4/4,{FIN-PERFECT},delivered,2026-07-03 00:00:00,2026-07-12,2026-07-13,"Ramco Group Industrial Park, Mombasa Road",31283.41
4516,273f0a46-b0e0-15e4-2eea-537dd458199d,4291c571-c4fa-5036-e9bd-38c5528ee0cc,ramco-printing,DUO,carton sleeve,500 x carton sleeve,500,A5,STK-BOARD-250,1/0,{FIN-SPOTUV},dispatched,2026-07-20 00:00:00,2026-07-26,2026-07-26,"Ramco Group Industrial Park, Mombasa Road",13474.43
4517,056acd07-b13e-29f4-fcee-2c1b453aba36,7ab62628-711f-3b4f-a641-93f0eee77be0,ramco-printing,HEX,A5 hardcover notebook,"5,000 x A5 hardcover notebook",5000,A4,STK-REC-120,4/0,{FIN-DIECUT},delivered,2025-11-14 00:00:00,2025-11-24,2025-11-24,"Ramco Group Industrial Park, Mombasa Road",267448.06
4518,5ed7e7d8-8371-128d-9e01-df5e9d3259b2,a2d67baf-cf49-0368-6246-39b37558304b,ramco-printing,IX,vehicle branding set,"1,000 x vehicle branding set",1000,A5,STK-SILK-150,4/0,{},dispatched,2026-03-10 00:00:00,2026-03-16,2026-03-16,"Ramco Group Industrial Park, Mombasa Road",167789.02
4519,5ed7e7d8-8371-128d-9e01-df5e9d3259b2,a2d67baf-cf49-0368-6246-39b37558304b,ramco-printing,HEX,A5 softcover journal,"2,000 x A5 softcover journal",2000,A5,STK-BOND-80,1/0,{FIN-GLOSSLAM},delivered,2025-12-27 00:00:00,2026-01-02,2025-12-31,"Ramco Group Industrial Park, Mombasa Road",128432.99
4520,273f0a46-b0e0-15e4-2eea-537dd458199d,4291c571-c4fa-5036-e9bd-38c5528ee0cc,ramco-printing,IX,outdoor signage panel,"10,000 x outdoor signage panel",10000,A3,STK-KRAFT-280,4/0,{FIN-DIECUT},dispatched,2025-12-12 00:00:00,2025-12-20,2025-12-16,"Ramco Group Industrial Park, Mombasa Road",805192.13
4521,e2fb492f-f2af-0e4a-b09a-10a7853c7d4f,2ab534a3-f438-f606-437c-af59e745e900,ramco-printing,DUO,product label roll,500 x product label roll,500,std,STK-BOARD-350,1/0,"{FIN-DIECUT,FIN-SPOTUV}",delivered,2025-11-22 00:00:00,2025-11-30,2025-11-29,"Ramco Group Industrial Park, Mombasa Road",75075.84
